evaluation,fitness,test_accuracy,uniqueness,time
0,0.5862876176834106,0.40423494577407837,1.0,1.22
100,0.5862876176834106,0.40423494577407837,1.0,1.22
200,0.5862876176834106,0.40423494577407837,1.0,1.22
300,0.5862876176834106,0.40423494577407837,1.0,1.22
400,0.5862876176834106,0.40423494577407837,1.0,1.22
500,0.7359668016433716,0.7423957586288452,1.0,1.22
600,0.7359668016433716,0.7423957586288452,1.0,1.22
700,0.7359668016433716,0.7423957586288452,1.0,1.22
800,0.7359668016433716,0.7423957586288452,1.0,1.22
900,0.7359668016433716,0.7423957586288452,1.0,1.22
1000,0.7359668016433716,0.7423957586288452,1.0,1.22
1100,0.7359668016433716,0.7423957586288452,1.0,1.22
1200,0.7359668016433716,0.7423957586288452,1.0,1.22
1300,0.7359668016433716,0.7423957586288452,1.0,1.22
1400,0.7359668016433716,0.7423957586288452,1.0,1.22
1500,0.7359668016433716,0.7423957586288452,1.0,1.22
1600,0.7359668016433716,0.7423957586288452,1.0,1.22
1700,0.7359668016433716,0.7423957586288452,1.0,1.22
1800,0.7359668016433716,0.7423957586288452,1.0,1.22
1900,0.7359668016433716,0.7423957586288452,1.0,1.22
2000,0.7359668016433716,0.7423957586288452,1.0,1.22
2100,0.7359668016433716,0.7423957586288452,1.0,1.22
2200,0.7359668016433716,0.7423957586288452,1.0,1.22
2300,0.7359668016433716,0.7423957586288452,1.0,1.22
2400,0.7359668016433716,0.7423957586288452,1.0,1.22
2500,0.7359668016433716,0.7423957586288452,1.0,1.22
2600,0.7359668016433716,0.7423957586288452,1.0,1.22
2700,0.7359668016433716,0.7423957586288452,1.0,1.22
2800,0.7359668016433716,0.7423957586288452,1.0,1.22
2900,0.7359668016433716,0.7423957586288452,1.0,1.22
3000,0.7359668016433716,0.7423957586288452,1.0,1.22
3100,0.7359668016433716,0.7423957586288452,1.0,1.22
3200,0.7359668016433716,0.7423957586288452,1.0,1.22
3300,0.7359668016433716,0.7423957586288452,1.0,1.22
3400,0.7359668016433716,0.7423957586288452,1.0,1.22
3500,0.7359668016433716,0.7423957586288452,1.0,1.22
3600,0.7359668016433716,0.7423957586288452,1.0,1.22
3700,0.7359668016433716,0.7423957586288452,1.0,1.22
3800,0.7359668016433716,0.7423957586288452,1.0,1.22
3900,0.7359668016433716,0.7423957586288452,1.0,1.22
4000,0.7359668016433716,0.7423957586288452,1.0,1.22
4100,0.7359668016433716,0.7423957586288452,1.0,1.22
4200,0.7359668016433716,0.7423957586288452,1.0,1.22
4300,0.7359668016433716,0.7423957586288452,1.0,1.22
4400,0.7359668016433716,0.7423957586288452,1.0,1.22
4500,0.7359668016433716,0.7423957586288452,1.0,1.22
4600,0.7359668016433716,0.7423957586288452,1.0,1.22
4700,0.7359668016433716,0.7423957586288452,1.0,1.22
4800,0.7359668016433716,0.7423957586288452,1.0,1.22
4900,0.7359668016433716,0.7423957586288452,1.0,1.22
5000,0.7359668016433716,0.7423957586288452,1.0,1.22
5100,0.7359668016433716,0.7423957586288452,1.0,1.22
5200,0.7359668016433716,0.7423957586288452,1.0,1.22
5300,0.7359668016433716,0.7423957586288452,1.0,1.22
5400,0.7359668016433716,0.7423957586288452,1.0,1.22
5500,0.7359668016433716,0.7423957586288452,1.0,1.22
5600,0.7359668016433716,0.7423957586288452,1.0,1.22
5700,0.7359668016433716,0.7423957586288452,1.0,1.22
5800,0.7359668016433716,0.7423957586288452,1.0,1.22
5900,0.7359668016433716,0.7423957586288452,1.0,1.22
6000,0.7359668016433716,0.7423957586288452,1.0,1.22
6100,0.7359668016433716,0.7423957586288452,1.0,1.22
6200,0.7359668016433716,0.7423957586288452,1.0,1.22
6300,0.7359668016433716,0.7423957586288452,1.0,1.22
6400,0.7359668016433716,0.7423957586288452,1.0,1.22
6500,0.7359668016433716,0.7423957586288452,1.0,1.22
6600,0.7359668016433716,0.7423957586288452,1.0,1.22
6700,0.7359668016433716,0.7423957586288452,1.0,1.22
6800,0.7359668016433716,0.7423957586288452,1.0,1.22
6900,0.7359668016433716,0.7423957586288452,1.0,1.22
7000,0.7359668016433716,0.7423957586288452,1.0,1.22
7100,0.7359668016433716,0.7423957586288452,1.0,1.22
7200,0.7359668016433716,0.7423957586288452,1.0,1.22
7300,0.7359668016433716,0.7423957586288452,1.0,1.22
7400,0.7359668016433716,0.7423957586288452,1.0,1.22
7500,0.7359668016433716,0.7423957586288452,1.0,1.22
7600,0.7359668016433716,0.7423957586288452,1.0,1.22
7700,0.7359668016433716,0.7423957586288452,1.0,1.22
7800,0.7359668016433716,0.7423957586288452,1.0,1.22
7900,0.7359668016433716,0.7423957586288452,1.0,1.22
8000,0.7359668016433716,0.7423957586288452,1.0,1.22
8100,0.7359668016433716,0.7423957586288452,1.0,1.22
8200,0.7359668016433716,0.7423957586288452,1.0,1.22
8300,0.7359668016433716,0.7423957586288452,1.0,1.22
8400,0.7359668016433716,0.7423957586288452,1.0,1.22
8500,0.7359668016433716,0.7423957586288452,1.0,1.22
8600,0.7359668016433716,0.7423957586288452,1.0,1.22
8700,0.7359668016433716,0.7423957586288452,1.0,1.22
8800,0.7359668016433716,0.7423957586288452,1.0,1.22
8900,0.7359668016433716,0.7423957586288452,1.0,1.22
9000,0.7359668016433716,0.7423957586288452,1.0,1.22
9100,0.7359668016433716,0.7423957586288452,1.0,1.22
9200,0.7359668016433716,0.7423957586288452,1.0,1.22
9300,0.7359668016433716,0.7423957586288452,1.0,1.22
9400,0.7359668016433716,0.7423957586288452,1.0,1.22
9500,0.7359668016433716,0.7423957586288452,1.0,1.22
9600,0.7359668016433716,0.7423957586288452,1.0,1.22
9700,0.7359668016433716,0.7423957586288452,1.0,1.22
9800,0.7359668016433716,0.7423957586288452,1.0,1.22
9900,0.7359668016433716,0.7423957586288452,1.0,1.22
10000,0.7359668016433716,0.7423957586288452,1.0,1.22
10100,0.7359668016433716,0.7423957586288452,1.0,1.22
10200,0.7359668016433716,0.7423957586288452,1.0,1.22
10300,0.7359668016433716,0.7423957586288452,1.0,1.22
10400,0.7359668016433716,0.7423957586288452,1.0,1.22
10500,0.7359668016433716,0.7423957586288452,1.0,1.22
10600,0.7359668016433716,0.7423957586288452,1.0,1.22
10700,0.7359668016433716,0.7423957586288452,1.0,1.22
10800,0.7359668016433716,0.7423957586288452,1.0,1.22
10900,0.7359668016433716,0.7423957586288452,1.0,1.22
11000,0.7359668016433716,0.7423957586288452,1.0,1.22
11100,0.7359668016433716,0.7423957586288452,1.0,1.22
11200,0.7359668016433716,0.7423957586288452,1.0,1.22
11300,0.7359668016433716,0.7423957586288452,1.0,1.22
11400,0.7359668016433716,0.7423957586288452,1.0,1.22
11500,0.7359668016433716,0.7423957586288452,1.0,1.22
11600,0.7359668016433716,0.7423957586288452,1.0,1.22
11700,0.7359668016433716,0.7423957586288452,1.0,1.22
11800,0.7359668016433716,0.7423957586288452,1.0,1.22
11900,0.7359668016433716,0.7423957586288452,1.0,1.22
12000,0.7359668016433716,0.7423957586288452,1.0,1.22
12100,0.7359668016433716,0.7423957586288452,1.0,1.22
12200,0.7359668016433716,0.7423957586288452,1.0,1.22
12300,0.7359668016433716,0.7423957586288452,1.0,1.22
12400,0.7359668016433716,0.7423957586288452,1.0,1.22
12500,0.7359668016433716,0.7423957586288452,1.0,1.22
12600,0.7359668016433716,0.7423957586288452,1.0,1.22
12700,0.7359668016433716,0.7423957586288452,1.0,1.22
12800,0.7359668016433716,0.7423957586288452,1.0,1.22
12900,0.7359668016433716,0.7423957586288452,1.0,1.22
13000,0.9164605736732483,0.8840680122375488,1.0,1.22
13100,0.9164605736732483,0.8840680122375488,1.0,1.22
13200,0.9164605736732483,0.8840680122375488,1.0,1.22
13300,0.9164605736732483,0.8840680122375488,1.0,1.22
13400,0.9164605736732483,0.8840680122375488,1.0,1.22
13500,0.9164605736732483,0.8840680122375488,1.0,1.22
13600,0.9164605736732483,0.8840680122375488,1.0,1.22
13700,0.9164605736732483,0.8840680122375488,1.0,1.22
13800,0.9164605736732483,0.8840680122375488,1.0,1.22
13900,0.9164605736732483,0.8840680122375488,1.0,1.22
14000,0.9164605736732483,0.8840680122375488,1.0,1.22
14100,0.9164605736732483,0.8840680122375488,1.0,1.22
14200,0.9164605736732483,0.8840680122375488,1.0,1.22
14300,0.9164605736732483,0.8840680122375488,1.0,1.22
14400,0.9164605736732483,0.8840680122375488,1.0,1.22
14500,0.9164605736732483,0.8840680122375488,1.0,1.22
14600,0.9164605736732483,0.8840680122375488,1.0,1.22
14700,0.9164605736732483,0.8840680122375488,1.0,1.22
14800,0.9164605736732483,0.8840680122375488,1.0,1.22
14900,0.9164605736732483,0.8840680122375488,1.0,1.22
15000,0.9164605736732483,0.8840680122375488,1.0,1.22
15100,0.9164605736732483,-2.3054869174957275,1.0,0.88
15200,0.9164605736732483,-2.3054869174957275,1.0,0.88
15300,0.9164605736732483,-2.3054869174957275,1.0,0.88
15400,0.9164605736732483,-2.3054869174957275,1.0,0.88
15500,0.9164605736732483,-2.3054869174957275,1.0,0.88
15600,0.9164605736732483,-2.3054869174957275,1.0,0.88
15700,0.9164605736732483,-2.3054869174957275,1.0,0.88
15800,0.9164605736732483,-2.3054869174957275,1.0,0.88
15900,0.9164605736732483,-2.3054869174957275,1.0,0.88
16000,0.9164605736732483,-2.3054869174957275,1.0,0.88
16100,0.9164605736732483,-2.3054869174957275,1.0,0.88
16200,0.9164605736732483,-2.3054869174957275,1.0,0.88
16300,0.9164605736732483,-2.3054869174957275,1.0,0.88
16400,0.9164605736732483,-2.3054869174957275,1.0,0.88
16500,0.9164605736732483,-2.3054869174957275,1.0,0.88
16600,0.9164605736732483,-2.3054869174957275,1.0,0.88
16700,0.9164605736732483,-2.3054869174957275,1.0,0.88
16800,0.9164605736732483,-2.3054869174957275,1.0,0.88
16900,0.9164605736732483,-2.3054869174957275,1.0,0.88
17000,0.9164605736732483,-2.3054869174957275,1.0,0.88
