evaluation,fitness,test_accuracy,uniqueness,time
0,-1.734295129776001,-1.2390360832214355,1.0,0.92
100,-0.1358705759048462,-0.07892060279846191,1.0,0.92
200,-0.1358705759048462,-0.07892060279846191,1.0,0.92
300,-0.1358705759048462,-0.07892060279846191,1.0,0.92
400,-0.1358705759048462,-0.07892060279846191,1.0,0.92
500,-0.1358705759048462,-0.07892060279846191,1.0,0.92
600,-0.1358705759048462,-0.07892060279846191,1.0,0.92
700,-0.1358705759048462,-0.07892060279846191,1.0,0.92
800,-0.1358705759048462,-0.07892060279846191,1.0,0.92
900,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1000,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1100,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1200,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1300,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1400,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1500,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1600,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1700,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1800,-0.1358705759048462,-0.07892060279846191,1.0,0.92
1900,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2000,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2100,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2200,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2300,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2400,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2500,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2600,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2700,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2800,-0.1358705759048462,-0.07892060279846191,1.0,0.92
2900,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3000,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3100,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3200,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3300,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3400,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3500,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3600,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3700,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3800,-0.1358705759048462,-0.07892060279846191,1.0,0.92
3900,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4000,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4100,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4200,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4300,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4400,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4500,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4600,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4700,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4800,-0.1358705759048462,-0.07892060279846191,1.0,0.92
4900,0.41135138273239136,0.5272594690322876,1.0,0.92
5000,0.41135138273239136,0.5272594690322876,1.0,0.92
5100,0.41135138273239136,0.5272594690322876,1.0,0.92
5200,0.41135138273239136,0.5272594690322876,1.0,0.92
5300,0.41135138273239136,0.5272594690322876,1.0,0.92
5400,0.41135138273239136,0.5272594690322876,1.0,0.92
5500,0.41135138273239136,0.5272594690322876,1.0,0.92
5600,0.41135138273239136,0.5272594690322876,1.0,0.92
5700,0.41135138273239136,0.5272594690322876,1.0,0.92
5800,0.41135138273239136,0.5272594690322876,1.0,0.92
5900,0.41135138273239136,0.5272594690322876,1.0,0.92
6000,0.41135138273239136,0.5272594690322876,1.0,0.92
