evaluation,fitness,test_accuracy,uniqueness,time
0,-1.1221903562545776,-1.1722848415374756,1.0,1.04
100,-1.1221903562545776,-1.1722848415374756,1.0,1.04
200,-1.1221903562545776,-1.1722848415374756,1.0,1.04
300,-1.1221903562545776,-1.1722848415374756,1.0,1.04
400,-1.1221903562545776,-1.1722848415374756,1.0,1.04
500,-1.1221903562545776,-1.1722848415374756,1.0,1.04
600,-1.1221903562545776,-1.1722848415374756,1.0,1.04
700,-1.1221903562545776,-1.1722848415374756,1.0,1.04
800,-1.1221903562545776,-1.1722848415374756,1.0,1.04
900,-1.1221903562545776,-1.1722848415374756,1.0,1.04
1000,-1.1221903562545776,-1.1722848415374756,1.0,1.04
1100,-1.1221903562545776,-1.1722848415374756,1.0,1.04
1200,-1.1221903562545776,-1.1722848415374756,1.0,1.04
1300,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1400,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1500,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1600,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1700,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1800,-0.49987614154815674,-0.5076411962509155,1.0,1.04
1900,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2000,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2100,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2200,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2300,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2400,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2500,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2600,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2700,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2800,-0.49987614154815674,-0.5076411962509155,1.0,1.04
2900,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3000,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3100,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3200,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3300,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3400,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3500,-0.49987614154815674,-0.5076411962509155,1.0,1.04
3600,-0.2372978925704956,-0.2559363842010498,1.0,1.04
3700,-0.2372978925704956,-0.2559363842010498,1.0,1.04
3800,-0.2372978925704956,-0.2559363842010498,1.0,1.04
3900,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4000,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4100,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4200,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4300,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4400,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4500,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4600,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4700,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4800,-0.2372978925704956,-0.2559363842010498,1.0,1.04
4900,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5000,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5100,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5200,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5300,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5400,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5500,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5600,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5700,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5800,-0.2372978925704956,-0.2559363842010498,1.0,1.04
5900,-0.2372978925704956,-0.2559363842010498,1.0,1.04
6000,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6100,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6200,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6300,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6400,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6500,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6600,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6700,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6800,-0.22477972507476807,-0.24702441692352295,1.0,1.04
6900,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7000,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7100,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7200,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7300,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7400,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7500,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7600,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7700,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7800,-0.22477972507476807,-0.24702441692352295,1.0,1.04
7900,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8000,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8100,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8200,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8300,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8400,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8500,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8600,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8700,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8800,-0.22477972507476807,-0.24702441692352295,1.0,1.04
8900,-0.22477972507476807,-0.24702441692352295,1.0,1.04
9000,-0.22477972507476807,-0.24702441692352295,1.0,1.04
9100,-0.22477972507476807,-0.24702441692352295,1.0,1.04
9200,-0.22477972507476807,-0.24702441692352295,1.0,1.04
9300,-0.22477972507476807,-0.24702441692352295,1.0,1.04
