evaluation,fitness,test_accuracy,uniqueness,time
0,-0.6777529716491699,-0.5150139927864075,1.0,0.84
100,-0.6777529716491699,-0.5150139927864075,1.0,0.84
200,-0.6777529716491699,-0.5150139927864075,1.0,0.84
300,-0.6777529716491699,-0.5150139927864075,1.0,0.84
400,-0.6777529716491699,-0.5150139927864075,1.0,0.84
500,-0.6777529716491699,-0.5150139927864075,1.0,0.84
600,-0.6777529716491699,-0.5150139927864075,1.0,0.84
700,-0.6777529716491699,-0.5150139927864075,1.0,0.84
800,-0.6777529716491699,-0.5150139927864075,1.0,0.84
900,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1000,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1100,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1200,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1300,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1400,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1500,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1600,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1700,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1800,-0.6777529716491699,-0.5150139927864075,1.0,0.84
1900,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2000,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2100,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2200,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2300,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2400,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2500,-0.6777529716491699,-0.5150139927864075,1.0,0.84
2600,-0.3304612636566162,-0.29658281803131104,1.0,0.84
2700,-0.3304612636566162,-0.29658281803131104,1.0,0.84
2800,-0.3304612636566162,-0.29658281803131104,1.0,0.84
2900,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3000,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3100,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3200,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3300,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3400,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3500,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3600,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3700,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3800,-0.3304612636566162,-0.29658281803131104,1.0,0.84
3900,-0.3304612636566162,-0.29658281803131104,1.0,0.84
4000,-0.3304612636566162,-0.29658281803131104,1.0,0.84
4100,-0.3304612636566162,-0.29658281803131104,1.0,0.84
4200,0.04421320557594299,0.15657931566238403,1.0,0.84
4300,0.04421320557594299,0.15657931566238403,1.0,0.84
4400,0.04421320557594299,0.15657931566238403,1.0,0.84
4500,0.04421320557594299,0.15657931566238403,1.0,0.84
4600,0.04421320557594299,0.15657931566238403,1.0,0.84
4700,0.04421320557594299,0.15657931566238403,1.0,0.84
4800,0.04421320557594299,0.15657931566238403,1.0,0.84
4900,0.04421320557594299,0.15657931566238403,1.0,0.84
5000,0.04421320557594299,0.15657931566238403,1.0,0.84
5100,0.04421320557594299,0.15657931566238403,1.0,0.84
5200,0.04421320557594299,0.15657931566238403,1.0,0.84
5300,0.04421320557594299,0.15657931566238403,1.0,0.84
5400,0.04421320557594299,0.15657931566238403,1.0,0.84
5500,0.04421320557594299,0.15657931566238403,1.0,0.84
5600,0.04421320557594299,0.15657931566238403,1.0,0.84
5700,0.04421320557594299,0.15657931566238403,1.0,0.84
5800,0.04421320557594299,0.15657931566238403,1.0,0.84
5900,0.04421320557594299,0.15657931566238403,1.0,0.84
