evaluation,fitness,test_accuracy,uniqueness,time
0,0.13321560621261597,0.14890241622924805,1.0,0.96
100,0.13321560621261597,0.14890241622924805,1.0,0.96
200,0.13321560621261597,0.14890241622924805,1.0,0.96
300,0.13321560621261597,0.14890241622924805,1.0,0.96
400,0.13321560621261597,0.14890241622924805,1.0,0.96
500,0.13321560621261597,0.14890241622924805,1.0,0.96
600,0.13321560621261597,0.14890241622924805,1.0,0.96
700,0.13321560621261597,0.14890241622924805,1.0,0.96
800,0.13321560621261597,0.14890241622924805,1.0,0.96
900,0.13321560621261597,0.14890241622924805,1.0,0.96
1000,0.13321560621261597,0.14890241622924805,1.0,0.96
1100,0.13321560621261597,0.14890241622924805,1.0,0.96
1200,0.13321560621261597,0.14890241622924805,1.0,0.96
1300,0.13321560621261597,0.14890241622924805,1.0,0.96
1400,0.13321560621261597,0.14890241622924805,1.0,0.96
1500,0.13321560621261597,0.14890241622924805,1.0,0.96
1600,0.13321560621261597,0.14890241622924805,1.0,0.96
1700,0.13321560621261597,0.14890241622924805,1.0,0.96
1800,0.13321560621261597,0.14890241622924805,1.0,0.96
1900,0.13321560621261597,0.14890241622924805,1.0,0.96
2000,0.13321560621261597,0.14890241622924805,1.0,0.96
2100,0.13321560621261597,0.14890241622924805,1.0,0.96
2200,0.13321560621261597,0.14890241622924805,1.0,0.96
2300,0.13321560621261597,0.14890241622924805,1.0,0.96
2400,0.13321560621261597,0.14890241622924805,1.0,0.96
2500,0.13321560621261597,0.14890241622924805,1.0,0.96
2600,0.13321560621261597,0.14890241622924805,1.0,0.96
2700,0.13321560621261597,0.14890241622924805,1.0,0.96
2800,0.13321560621261597,0.14890241622924805,1.0,0.96
2900,0.13321560621261597,0.14890241622924805,1.0,0.96
3000,0.13321560621261597,0.14890241622924805,1.0,0.96
3100,0.13321560621261597,0.14890241622924805,1.0,0.96
3200,0.13321560621261597,0.14890241622924805,1.0,0.96
3300,0.13321560621261597,0.14890241622924805,1.0,0.96
3400,0.13321560621261597,0.14890241622924805,1.0,0.96
3500,0.13321560621261597,0.14890241622924805,1.0,0.96
3600,0.13321560621261597,0.14890241622924805,1.0,0.96
3700,0.13321560621261597,0.14890241622924805,1.0,0.96
3800,0.13321560621261597,0.14890241622924805,1.0,0.96
3900,0.13321560621261597,0.14890241622924805,1.0,0.96
4000,0.13321560621261597,0.14890241622924805,1.0,0.96
4100,0.13321560621261597,0.14890241622924805,1.0,0.96
4200,0.13321560621261597,0.14890241622924805,1.0,0.96
4300,0.13321560621261597,0.14890241622924805,1.0,0.96
4400,0.13321560621261597,0.14890241622924805,1.0,0.96
4500,0.13321560621261597,0.14890241622924805,1.0,0.96
4600,0.13321560621261597,0.14890241622924805,1.0,0.96
4700,0.13321560621261597,0.14890241622924805,1.0,0.96
4800,0.13321560621261597,0.14890241622924805,1.0,0.96
4900,0.13321560621261597,0.14890241622924805,1.0,0.96
5000,0.13321560621261597,0.14890241622924805,1.0,0.96
5100,0.13321560621261597,0.14890241622924805,1.0,0.96
5200,0.13321560621261597,0.14890241622924805,1.0,0.96
5300,0.13321560621261597,0.14890241622924805,1.0,0.96
5400,0.13321560621261597,0.14890241622924805,1.0,0.96
5500,0.1685219407081604,0.18102788925170898,1.0,0.96
5600,0.1685219407081604,0.18102788925170898,1.0,0.96
5700,0.1685219407081604,0.18102788925170898,1.0,0.96
5800,0.1685219407081604,0.18102788925170898,1.0,0.96
5900,0.1685219407081604,0.18102788925170898,1.0,0.96
6000,0.1685219407081604,0.18102788925170898,1.0,0.96
6100,0.1685219407081604,0.18102788925170898,1.0,0.96
6200,0.1685219407081604,0.18102788925170898,1.0,0.96
6300,0.1685219407081604,0.18102788925170898,1.0,0.96
6400,0.1685219407081604,0.18102788925170898,1.0,0.96
6500,0.1685219407081604,0.18102788925170898,1.0,0.96
6600,0.1685219407081604,0.18102788925170898,1.0,0.96
6700,0.1685219407081604,0.18102788925170898,1.0,0.96
6800,0.1685219407081604,0.18102788925170898,1.0,0.96
6900,0.1685219407081604,0.18102788925170898,1.0,0.96
7000,0.1685219407081604,0.18102788925170898,1.0,0.96
7100,0.1685219407081604,0.18102788925170898,1.0,0.96
7200,0.1685219407081604,0.18102788925170898,1.0,0.96
7300,0.1685219407081604,0.18102788925170898,1.0,0.96
7400,0.1685219407081604,0.18102788925170898,1.0,0.96
7500,0.1685219407081604,0.18102788925170898,1.0,0.96
7600,0.1685219407081604,0.18102788925170898,1.0,0.96
7700,0.1685219407081604,0.18102788925170898,1.0,0.96
7800,0.1685219407081604,0.18102788925170898,1.0,0.96
7900,0.1685219407081604,0.18102788925170898,1.0,0.96
8000,0.1685219407081604,0.18102788925170898,1.0,0.96
8100,0.1685219407081604,0.18102788925170898,1.0,0.96
8200,0.1685219407081604,0.18102788925170898,1.0,0.96
8300,0.1685219407081604,0.18102788925170898,1.0,0.96
8400,0.1685219407081604,0.18102788925170898,1.0,0.96
8500,0.1685219407081604,0.18102788925170898,1.0,0.96
8600,0.1685219407081604,0.18102788925170898,1.0,0.96
