evaluation,fitness,test_accuracy,uniqueness,time
0,0.8053351640701294,0.8263446092605591,1.0,3.41
1000,0.8053351640701294,0.8263446092605591,1.0,3.41
2000,0.8053351640701294,0.8263446092605591,1.0,3.41
3000,0.8053351640701294,0.8263446092605591,1.0,3.41
4000,0.8053351640701294,0.8263446092605591,1.0,3.41
5000,0.8053351640701294,0.8263446092605591,1.0,3.41
6000,0.8053351640701294,0.8263446092605591,1.0,3.41
7000,0.8053351640701294,0.8263446092605591,1.0,3.41
8000,0.8053351640701294,0.8263446092605591,1.0,3.41
9000,0.8053351640701294,0.8263446092605591,1.0,3.41
10000,0.8053351640701294,0.8263446092605591,1.0,3.41
11000,0.8053351640701294,0.8263446092605591,1.0,3.41
12000,0.9499743580818176,0.9425801634788513,1.0,3.41
13000,0.9499743580818176,0.9425801634788513,1.0,3.41
14000,0.9499743580818176,0.9425801634788513,1.0,3.41
15000,0.9499743580818176,0.9425801634788513,1.0,3.41
16000,0.9499743580818176,0.9425801634788513,1.0,3.41
17000,0.9499743580818176,0.9425801634788513,1.0,3.41
18000,0.9499743580818176,0.9425801634788513,1.0,3.41
19000,0.9499743580818176,0.9425801634788513,1.0,3.41
20000,0.9499743580818176,0.9425801634788513,1.0,3.41
21000,0.9499743580818176,0.9425801634788513,1.0,3.41
22000,0.9499743580818176,0.9425801634788513,1.0,3.41
23000,0.9499743580818176,0.9425801634788513,1.0,3.41
24000,0.9499743580818176,0.9425801634788513,1.0,3.41
25000,0.9499743580818176,0.9425801634788513,1.0,3.41
26000,0.9499743580818176,0.9425801634788513,1.0,3.41
27000,0.9499743580818176,0.9425801634788513,1.0,3.41
28000,0.9499743580818176,0.9425801634788513,1.0,3.41
29000,0.9499743580818176,0.9425801634788513,1.0,3.41
30000,0.9499743580818176,0.9425801634788513,1.0,3.41
31000,0.9499743580818176,0.9425801634788513,1.0,3.41
32000,0.9499743580818176,0.9425801634788513,1.0,3.41
33000,0.9815071225166321,0.9835171103477478,1.0,3.41
34000,0.9815071225166321,0.9835171103477478,1.0,3.41
35000,0.9815071225166321,0.9835171103477478,1.0,3.41
36000,0.9815071225166321,0.9835171103477478,1.0,3.41
37000,0.9815071225166321,0.9835171103477478,1.0,3.41
38000,0.9815071225166321,0.9835171103477478,1.0,3.41
39000,0.9815071225166321,0.9835171103477478,1.0,3.41
40000,0.9815071225166321,0.9835171103477478,1.0,3.41
41000,0.9815071225166321,0.9835171103477478,1.0,3.41
42000,0.9815071225166321,0.9835171103477478,1.0,3.41
43000,0.9815071225166321,0.9835171103477478,1.0,3.41
44000,0.9815071225166321,0.9835171103477478,1.0,3.41
45000,0.9815071225166321,0.9835171103477478,1.0,3.41
46000,0.9815071225166321,0.9835171103477478,1.0,3.41
47000,0.9815071225166321,0.9835171103477478,1.0,3.41
48000,0.9815071225166321,0.9835171103477478,1.0,3.41
49000,0.9815071225166321,0.9835171103477478,1.0,3.41
50000,0.9815071225166321,0.9835171103477478,1.0,3.41
51000,0.9815071225166321,0.9835171103477478,1.0,3.41
52000,0.9815071225166321,0.9835171103477478,1.0,3.41
53000,0.9815071225166321,0.9835171103477478,1.0,3.41
54000,0.9815071225166321,0.9835171103477478,1.0,3.41
55000,0.9815071225166321,0.9835171103477478,1.0,3.41
56000,0.9815071225166321,0.9835171103477478,1.0,3.41
57000,0.9815071225166321,0.9835171103477478,1.0,3.41
58000,0.9815071225166321,0.9835171103477478,1.0,3.41
59000,0.9815071225166321,0.9835171103477478,1.0,3.41
60000,0.9815071225166321,0.9835171103477478,1.0,3.41
61000,0.9815071225166321,0.9835171103477478,1.0,3.41
62000,0.9815071225166321,0.9835171103477478,1.0,3.41
63000,0.9815071225166321,0.9835171103477478,1.0,3.41
64000,0.9815071225166321,0.9835171103477478,1.0,3.41
65000,0.9815071225166321,0.9835171103477478,1.0,3.41
66000,0.9815071225166321,0.9835171103477478,1.0,3.41
67000,0.9815071225166321,0.9835171103477478,1.0,3.41
68000,0.9815071225166321,0.9835171103477478,1.0,3.41
69000,0.9815071225166321,0.9835171103477478,1.0,3.41
70000,0.9815071225166321,0.9835171103477478,1.0,3.41
71000,0.9815071225166321,0.9835171103477478,1.0,3.41
72000,0.9815071225166321,0.9835171103477478,1.0,3.41
73000,0.9815071225166321,0.9835171103477478,1.0,3.41
74000,0.9815071225166321,0.9835171103477478,1.0,3.41
75000,0.9815071225166321,0.9835171103477478,1.0,3.41
76000,0.9815071225166321,0.9835171103477478,1.0,3.41
77000,0.9815071225166321,0.9835171103477478,1.0,3.41
78000,0.9815071225166321,0.9835171103477478,1.0,3.41
79000,0.9815071225166321,0.9835171103477478,1.0,3.41
80000,0.9815071225166321,0.9835171103477478,1.0,3.41
81000,0.9815071225166321,0.9835171103477478,1.0,3.41
82000,0.9815071225166321,0.9835171103477478,1.0,3.41
83000,0.9815071225166321,0.9835171103477478,1.0,3.41
84000,0.9815071225166321,0.9835171103477478,1.0,3.41
85000,0.9815071225166321,0.9835171103477478,1.0,3.41
86000,0.9815071225166321,0.9835171103477478,1.0,3.41
87000,0.9815071225166321,0.9835171103477478,1.0,3.41
88000,0.9815071225166321,0.9835171103477478,1.0,3.41
89000,0.9815071225166321,0.9835171103477478,1.0,3.41
90000,0.9815071225166321,0.9835171103477478,1.0,3.41
91000,0.9815071225166321,0.9835171103477478,1.0,3.41
92000,0.9815071225166321,0.9835171103477478,1.0,3.41
93000,0.9815071225166321,0.9835171103477478,1.0,3.41
94000,0.9815071225166321,0.9835171103477478,1.0,3.41
95000,0.9815071225166321,0.9835171103477478,1.0,3.41
96000,0.9815071225166321,0.9835171103477478,1.0,3.41
97000,0.9815071225166321,0.9835171103477478,1.0,3.41
98000,0.9815071225166321,0.9835171103477478,1.0,3.41
99000,0.9815071225166321,0.9835171103477478,1.0,3.41
100000,0.9815071225166321,0.9835171103477478,1.0,3.41
101000,0.9815071225166321,0.9835171103477478,1.0,3.41
102000,0.9815071225166321,0.9835171103477478,1.0,3.41
103000,0.9815071225166321,0.9835171103477478,1.0,3.41
104000,0.9815071225166321,0.9835171103477478,1.0,3.41
105000,0.9815071225166321,0.9835171103477478,1.0,3.41
106000,0.9815071225166321,0.9835171103477478,1.0,3.41
107000,0.9815071225166321,0.9835171103477478,1.0,3.41
108000,0.9815071225166321,0.9835171103477478,1.0,3.41
109000,0.9815071225166321,0.9835171103477478,1.0,3.41
110000,0.9815071225166321,0.9835171103477478,1.0,3.41
111000,0.9815071225166321,0.9835171103477478,1.0,3.41
112000,0.9815071225166321,0.9835171103477478,1.0,3.41
113000,0.9815071225166321,0.9835171103477478,1.0,3.41
114000,0.9815071225166321,0.9835171103477478,1.0,3.41
115000,0.9815071225166321,0.9835171103477478,1.0,3.41
116000,0.9815071225166321,0.9835171103477478,1.0,3.41
117000,0.9815071225166321,0.9835171103477478,1.0,3.41
118000,0.9815071225166321,0.9835171103477478,1.0,3.41
119000,0.9815071225166321,0.9835171103477478,1.0,3.41
120000,0.9815071225166321,0.9835171103477478,1.0,3.41
121000,0.9815071225166321,0.9835171103477478,1.0,3.41
122000,0.9815071225166321,0.9835171103477478,1.0,3.41
123000,0.9815071225166321,0.9835171103477478,1.0,3.41
124000,0.9815071225166321,0.9835171103477478,1.0,3.41
125000,0.9815071225166321,0.9835171103477478,1.0,3.41
126000,0.9815071225166321,0.9835171103477478,1.0,3.41
127000,0.9815071225166321,0.9835171103477478,1.0,3.41
128000,0.9815071225166321,0.9835171103477478,1.0,3.41
129000,0.9815071225166321,0.9835171103477478,1.0,3.41
130000,0.9815071225166321,0.9835171103477478,1.0,3.41
131000,0.9815071225166321,0.9835171103477478,1.0,3.41
132000,0.9815071225166321,0.9835171103477478,1.0,3.41
133000,0.9815071225166321,0.9835171103477478,1.0,3.41
134000,0.9815071225166321,0.9835171103477478,1.0,3.41
135000,0.9815071225166321,0.9835171103477478,1.0,3.41
136000,0.9815071225166321,0.9835171103477478,1.0,3.41
137000,0.9815071225166321,0.9835171103477478,1.0,3.41
138000,0.9815071225166321,0.9835171103477478,1.0,3.41
139000,0.9815071225166321,0.9835171103477478,1.0,3.41
140000,0.9815071225166321,0.9835171103477478,1.0,3.41
141000,0.9815071225166321,0.9835171103477478,1.0,3.41
142000,0.9815071225166321,0.9835171103477478,1.0,3.41
