evaluation,fitness,test_accuracy,uniqueness,time
0,0.16925454139709473,0.08599120378494263,1.0,0.74
100,0.16925454139709473,0.08599120378494263,1.0,0.74
200,0.16925454139709473,0.08599120378494263,1.0,0.74
300,0.16925454139709473,0.08599120378494263,1.0,0.74
400,0.16925454139709473,0.08599120378494263,1.0,0.74
500,0.16925454139709473,0.08599120378494263,1.0,0.74
600,0.16925454139709473,0.08599120378494263,1.0,0.74
700,0.16925454139709473,0.08599120378494263,1.0,0.74
800,0.16925454139709473,0.08599120378494263,1.0,0.74
900,0.16925454139709473,0.08599120378494263,1.0,0.74
1000,0.2948153614997864,0.26175767183303833,1.0,0.74
1100,0.2948153614997864,0.26175767183303833,1.0,0.74
1200,0.2948153614997864,0.26175767183303833,1.0,0.74
1300,0.2948153614997864,0.26175767183303833,1.0,0.74
1400,0.2948153614997864,0.26175767183303833,1.0,0.74
1500,0.2948153614997864,0.26175767183303833,1.0,0.74
1600,0.2948153614997864,0.26175767183303833,1.0,0.74
1700,0.2948153614997864,0.26175767183303833,1.0,0.74
1800,0.2948153614997864,0.26175767183303833,1.0,0.74
1900,0.2948153614997864,0.26175767183303833,1.0,0.74
2000,0.2948153614997864,0.26175767183303833,1.0,0.74
2100,0.2948153614997864,0.26175767183303833,1.0,0.74
2200,0.2948153614997864,0.26175767183303833,1.0,0.74
2300,0.2948153614997864,0.26175767183303833,1.0,0.74
2400,0.2948153614997864,0.26175767183303833,1.0,0.74
2500,0.2948153614997864,0.26175767183303833,1.0,0.74
2600,0.2948153614997864,0.26175767183303833,1.0,0.74
2700,0.2948153614997864,0.26175767183303833,1.0,0.74
2800,0.2948153614997864,0.26175767183303833,1.0,0.74
2900,0.2948153614997864,0.26175767183303833,1.0,0.74
3000,0.2948153614997864,0.26175767183303833,1.0,0.74
3100,0.2948153614997864,0.26175767183303833,1.0,0.74
3200,0.2948153614997864,0.26175767183303833,1.0,0.74
3300,0.2948153614997864,0.26175767183303833,1.0,0.74
3400,0.2948153614997864,0.26175767183303833,1.0,0.74
3500,0.2948153614997864,0.26175767183303833,1.0,0.74
3600,0.2948153614997864,0.26175767183303833,1.0,0.74
3700,0.2948153614997864,0.26175767183303833,1.0,0.74
3800,0.2948153614997864,0.26175767183303833,1.0,0.74
3900,0.2948153614997864,0.26175767183303833,1.0,0.74
4000,0.2948153614997864,0.26175767183303833,1.0,0.74
4100,0.2948153614997864,0.26175767183303833,1.0,0.74
4200,0.2948153614997864,0.26175767183303833,1.0,0.74
4300,0.2948153614997864,0.26175767183303833,1.0,0.74
4400,0.2948153614997864,0.26175767183303833,1.0,0.74
4500,0.2948153614997864,0.26175767183303833,1.0,0.74
4600,0.2948153614997864,0.26175767183303833,1.0,0.74
4700,0.2948153614997864,0.26175767183303833,1.0,0.74
4800,0.2948153614997864,0.26175767183303833,1.0,0.74
4900,0.2948153614997864,0.26175767183303833,1.0,0.74
5000,0.2948153614997864,0.26175767183303833,1.0,0.74
5100,0.2948153614997864,0.26175767183303833,1.0,0.74
5200,0.2948153614997864,0.26175767183303833,1.0,0.74
5300,0.2948153614997864,0.26175767183303833,1.0,0.74
5400,0.2948153614997864,0.26175767183303833,1.0,0.74
5500,0.2948153614997864,0.26175767183303833,1.0,0.74
5600,0.2948153614997864,0.26175767183303833,1.0,0.74
5700,0.2948153614997864,0.26175767183303833,1.0,0.74
5800,0.2948153614997864,0.26175767183303833,1.0,0.74
5900,0.2948153614997864,0.26175767183303833,1.0,0.74
6000,0.2948153614997864,0.26175767183303833,1.0,0.74
6100,0.2948153614997864,0.26175767183303833,1.0,0.74
6200,0.2948153614997864,0.26175767183303833,1.0,0.74
6300,0.2948153614997864,0.26175767183303833,1.0,0.74
6400,0.2948153614997864,0.26175767183303833,1.0,0.74
6500,0.2948153614997864,0.26175767183303833,1.0,0.74
6600,0.2948153614997864,0.26175767183303833,1.0,0.74
6700,0.2948153614997864,0.26175767183303833,1.0,0.74
