evaluation,fitness,test_accuracy,uniqueness,time
0,0.1623561978340149,-0.6238477230072021,1.0,1.42
1000,0.1623561978340149,-0.6238477230072021,1.0,1.42
2000,0.1623561978340149,-0.6238477230072021,1.0,1.42
3000,0.1623561978340149,-0.6238477230072021,1.0,1.42
4000,0.1623561978340149,-0.6238477230072021,1.0,1.42
5000,0.1623561978340149,-0.6238477230072021,1.0,1.42
6000,0.1623561978340149,-0.6238477230072021,1.0,1.42
7000,0.1623561978340149,-0.6238477230072021,1.0,1.42
8000,0.1623561978340149,-0.6238477230072021,1.0,1.42
9000,0.1623561978340149,-0.6238477230072021,1.0,1.42
10000,0.1623561978340149,-0.6238477230072021,1.0,1.42
11000,0.1623561978340149,-0.6238477230072021,1.0,1.42
12000,0.1623561978340149,-0.6238477230072021,1.0,1.42
13000,0.1623561978340149,-0.6238477230072021,1.0,1.42
14000,0.1623561978340149,-0.6238477230072021,1.0,1.42
15000,0.1623561978340149,-0.6238477230072021,1.0,1.42
16000,0.1623561978340149,-0.6238477230072021,1.0,1.42
17000,0.1623561978340149,-0.6238477230072021,1.0,1.42
18000,0.1623561978340149,-0.6238477230072021,1.0,1.42
19000,0.1623561978340149,-0.6238477230072021,1.0,1.42
20000,0.1623561978340149,-0.6238477230072021,1.0,1.42
21000,0.1623561978340149,-0.6238477230072021,1.0,1.42
22000,0.1623561978340149,-0.6238477230072021,1.0,1.42
23000,0.1623561978340149,-0.6238477230072021,1.0,1.42
24000,0.1623561978340149,-0.6238477230072021,1.0,1.42
25000,0.1623561978340149,-0.6238477230072021,1.0,1.42
26000,0.1623561978340149,-0.6238477230072021,1.0,1.42
27000,0.1623561978340149,-0.6238477230072021,1.0,1.42
28000,0.1623561978340149,-0.6238477230072021,1.0,1.42
29000,0.1623561978340149,-0.6238477230072021,1.0,1.42
30000,0.1623561978340149,-0.6238477230072021,1.0,1.42
31000,0.40133392810821533,-0.3117516040802002,1.0,1.42
32000,0.40133392810821533,-0.3117516040802002,1.0,1.42
33000,0.40133392810821533,-0.3117516040802002,1.0,1.42
34000,0.40133392810821533,-0.3117516040802002,1.0,1.42
35000,0.40133392810821533,-0.3117516040802002,1.0,1.42
36000,0.40133392810821533,-0.3117516040802002,1.0,1.42
37000,0.40133392810821533,-0.3117516040802002,1.0,1.42
38000,0.40133392810821533,-0.3117516040802002,1.0,1.42
39000,0.40133392810821533,-0.3117516040802002,1.0,1.42
40000,0.40133392810821533,-0.3117516040802002,1.0,1.42
41000,0.40133392810821533,-0.3117516040802002,1.0,1.42
42000,0.40133392810821533,-0.3117516040802002,1.0,1.42
43000,0.40133392810821533,-0.3117516040802002,1.0,1.42
44000,0.40133392810821533,-0.3117516040802002,1.0,1.42
45000,0.40133392810821533,-0.3117516040802002,1.0,1.42
46000,0.40133392810821533,-0.3117516040802002,1.0,1.42
47000,0.40133392810821533,-0.3117516040802002,1.0,1.42
48000,0.40133392810821533,-0.3117516040802002,1.0,1.42
49000,0.40133392810821533,-0.3117516040802002,1.0,1.42
50000,0.40133392810821533,-0.3117516040802002,1.0,1.42
51000,0.40133392810821533,-0.3117516040802002,1.0,1.42
52000,0.40133392810821533,-0.3117516040802002,1.0,1.42
53000,0.6521256566047668,0.36722898483276367,1.0,1.42
54000,0.6521256566047668,0.36722898483276367,1.0,1.42
55000,0.6521256566047668,0.36722898483276367,1.0,1.42
56000,0.6521256566047668,0.36722898483276367,1.0,1.42
57000,0.6521256566047668,0.36722898483276367,1.0,1.42
58000,0.6521256566047668,0.36722898483276367,1.0,1.42
59000,0.6521256566047668,0.36722898483276367,1.0,1.42
60000,0.6521256566047668,0.36722898483276367,1.0,1.42
61000,0.6521256566047668,0.36722898483276367,1.0,1.42
62000,0.6521256566047668,0.36722898483276367,1.0,1.42
63000,0.6521256566047668,0.36722898483276367,1.0,1.42
64000,0.6521256566047668,0.36722898483276367,1.0,1.42
65000,0.6521256566047668,0.36722898483276367,1.0,1.42
66000,0.6521256566047668,0.36722898483276367,1.0,1.42
67000,0.6521256566047668,0.36722898483276367,1.0,1.42
