,eval/sps,eval/episode_x_position,training/entropy_loss,training/walltime,eval/episode_reward_forward,eval/episode_reward,eval/episode_x_velocity,_timestamp,eval/epoch_eval_time,training/policy_loss,eval/episode_reward_healthy,eval/walltime,training/total_loss,_step,training/sps,training/v_loss,eval/avg_episode_length,eval/episode_reward_ctrl,_runtime,seed,rl_algorithm,environment
0,11845.884830181729,-1.140195608139038,,,-11.020975112915039,27.331247329711914,-11.020975112915039,1694010223.1462762,10.805440187454224,,38.421875,10.805440187454224,,0.0,,,38.421875,-0.06965231895446777,17.537021160125732,4,ppo,walker2d
1,117048.6258849979,-2.919677972793579,-0.0036941561847925186,19.538745641708374,-25.508670806884766,167.5439453125,-25.508670806884766,1694010243.7828803,1.0935626029968262,0.002857508137822151,193.3828125,11.89900279045105,230.2996826171875,3932160.0,201249.35715454613,230.30052185058594,193.3828125,-0.33019259572029114,38.173625230789185,4,ppo,walker2d
2,118503.43223869725,42.89625549316406,-0.0033798550721257925,25.06695318222046,63.11989974975586,369.716064453125,63.11989974975586,1694010250.3963645,1.0801374912261963,-0.013696218840777874,307.125,12.979140281677246,200.3160400390625,7864320.0,711290.2276522996,200.3331298828125,307.125,-0.5288459658622742,44.787109375,4,ppo,walker2d
3,118803.56009541976,74.96146392822266,-0.0030474297236651182,30.596279621124268,164.62123107910156,396.0890808105469,164.62123107910156,1694010257.008234,1.077408790588379,-0.006828624755144119,231.8828125,14.056549072265625,80.62481689453125,11796480.0,711146.2930337592,80.63468933105469,231.8828125,-0.41498100757598877,51.39897894859314,4,ppo,walker2d
4,119417.72242561234,106.11819458007812,-0.0027407053858041763,36.13239598274231,233.0878143310547,432.231201171875,233.0878143310547,1694010263.6215162,1.0718677043914795,-0.007898193784058094,199.515625,15.128416776657104,290.755615234375,15728640.0,710274.0880342961,290.7662353515625,199.515625,-0.3722416162490845,58.012261152267456,4,ppo,walker2d
5,117970.11671961583,103.3416976928711,-0.0023814064916223288,41.656309366226196,251.39080810546875,431.0052490234375,251.39080810546875,1694010270.235673,1.0850205421447754,-0.008458944037556648,179.96875,16.21343731880188,201.03173828125,19660800.0,711843.1675190423,201.04258728027344,179.96875,-0.35429322719573975,64.62641787528992,4,ppo,walker2d
6,117963.48097474886,106.78221130371094,-0.00205126847140491,47.18146014213562,268.4327392578125,439.33050537109375,268.4327392578125,1694010276.8510156,1.0850815773010254,-0.008355717174708843,171.2421875,17.298518896102905,210.05926513671875,23592960.0,711683.7457440748,210.06967163085938,171.2421875,-0.3444514870643616,71.24176049232483,4,ppo,walker2d
7,118275.98770427066,124.95980834960938,-0.001700827619060874,52.7108428478241,312.98284912109375,481.83135986328125,312.98284912109375,1694010283.4678013,1.082214593887329,-0.007137048989534378,169.203125,18.380733489990234,196.5968017578125,27525120.0,711139.0564365715,196.60565185546875,169.203125,-0.35466212034225464,77.85854625701904,4,ppo,walker2d
8,118515.59660570954,144.36952209472656,-0.0012323110131546855,58.24032759666443,348.0766906738281,517.880615234375,348.0766906738281,1694010290.082367,1.080026626586914,-0.004114259034395218,170.1796875,19.46076011657715,239.79022216796875,31457280.0,711125.9328140239,239.7955780029297,170.1796875,-0.375785231590271,84.47311186790466,4,ppo,walker2d
9,117903.14552065657,166.657470703125,-0.0007227527676150203,63.76689338684082,373.57000732421875,547.8658447265625,373.57000732421875,1694010296.699497,1.085636854171753,-0.0033788529690355062,174.703125,20.5463969707489,209.2506561279297,35389440.0,711501.5272213917,209.25474548339844,174.703125,-0.40727874636650085,91.0902419090271,4,ppo,walker2d
10,118297.09758684202,192.91714477539062,-0.00019199482630938292,69.29695200920105,407.6098327636719,587.957275390625,407.6098327636719,1694010303.3165421,1.0820214748382568,-0.003773853648453951,180.78125,21.628418445587158,134.18235778808594,39321600.0,711052.1367894205,134.1863250732422,180.78125,-0.43377840518951416,97.70728707313538,4,ppo,walker2d
11,118273.53840331105,206.70260620117188,0.00026151625206694007,74.82758855819702,420.87274169921875,603.87109375,420.87274169921875,1694010309.934442,1.0822370052337646,-0.0025504929944872856,183.453125,22.710655450820923,153.83377075195312,43253760.0,710977.8350403159,153.8360595703125,183.453125,-0.454742968082428,104.32518696784973,4,ppo,walker2d
